state,reason_phrase,contextual_factor,weighted_count,share_within_state,source
Appreciation,Decision latency changed,Decision latency,88,0.07899461400359066,contextual_factor_template
Appreciation,Demand volatility increased,Demand volatility,84,0.07540394973070018,contextual_factor_template
Appreciation,Forecast accuracy needs check,Forecast accuracy,82,0.07360861759425494,contextual_factor_template
Appreciation,Performance pressure is high,Performance pressure,78,0.07001795332136446,contextual_factor_template
Appreciation,Recent negative shock,Recent negative shock,80,0.0718132854578097,contextual_factor_template
Appreciation,Supply disruptions changed plan,Supply disruptions,86,0.07719928186714542,contextual_factor_template
Appreciation,Target difficulty is high,Target difficulty,75,0.06732495511669659,contextual_factor_template
Appreciation,Task complexity needs review,Task complexity,87,0.07809694793536805,contextual_factor_template
Appreciation,Need local validation,Task complexity,76,0.06822262118491922,contextual_factor_template
Appreciation,Check team feasibility,Supply disruptions,74,0.06642728904847396,contextual_factor_template
Appreciation,Customer request changed,Demand volatility,72,0.06463195691202872,contextual_factor_template
Appreciation,Latest ERP update needed,Decision latency,70,0.06283662477558348,contextual_factor_template
Appreciation,AI useful but context changed,Task complexity,83,0.07450628366247755,contextual_factor_template
Appreciation,Retain final say,Performance pressure,79,0.07091561938958707,contextual_factor_template
Neutral,Decision latency unclear,Decision latency,82,0.06960950764006792,contextual_factor_template
Neutral,Demand volatility unclear,Demand volatility,80,0.06791171477079797,contextual_factor_template
Neutral,Forecast accuracy uncertain,Forecast accuracy,81,0.06876061120543293,contextual_factor_template
Neutral,Performance pressure unclear,Performance pressure,76,0.06451612903225806,contextual_factor_template
Neutral,Recent shock needs context,Recent negative shock,78,0.06621392190152801,contextual_factor_template
Neutral,Supply disruption details,Supply disruptions,77,0.06536502546689305,contextual_factor_template
Neutral,Target difficulty unclear,Target difficulty,75,0.0636672325976231,contextual_factor_template
Neutral,Task complexity unclear,Task complexity,79,0.06706281833616298,contextual_factor_template
Neutral,Need more context,Task complexity,84,0.07130730050933787,contextual_factor_template
Neutral,Need more details,Forecast accuracy,83,0.07045840407470289,contextual_factor_template
Neutral,Need to compare options,Demand volatility,74,0.06281833616298811,contextual_factor_template
Neutral,Need another opinion,Performance pressure,73,0.06196943972835314,contextual_factor_template
Neutral,Not sure yet,Task complexity,86,0.0730050933786078,contextual_factor_template
Neutral,Need to understand logic,Forecast accuracy,78,0.06621392190152801,contextual_factor_template
Neutral,Could work but unsure,Recent negative shock,72,0.06112054329371817,contextual_factor_template
Aversion,Decision latency too risky,Decision latency,86,0.06766325727773406,contextual_factor_template
Aversion,Demand volatility too high,Demand volatility,84,0.06608969315499606,contextual_factor_template
Aversion,Forecast accuracy unreliable,Forecast accuracy,88,0.06923682140047208,contextual_factor_template
Aversion,Performance pressure too high,Performance pressure,82,0.06451612903225806,contextual_factor_template
Aversion,Recent negative shock confirms risk,Recent negative shock,80,0.06294256490952006,contextual_factor_template
Aversion,Supply disruptions make AI unsafe,Supply disruptions,85,0.06687647521636507,contextual_factor_template
Aversion,Target difficulty beyond AI,Target difficulty,78,0.06136900078678206,contextual_factor_template
Aversion,Task complexity beyond AI,Task complexity,87,0.06845003933910307,contextual_factor_template
Aversion,I don't trust this,Task complexity,90,0.07081038552321008,contextual_factor_template
Aversion,AI doesn't know reality,Demand volatility,89,0.07002360346184107,contextual_factor_template
Aversion,I prefer doing it myself,Performance pressure,83,0.06530291109362707,contextual_factor_template
Aversion,I won't approve this,Recent negative shock,86,0.06766325727773406,contextual_factor_template
Aversion,Too risky for me,Supply disruptions,88,0.06923682140047208,contextual_factor_template
Aversion,I don't want responsibility,Performance pressure,84,0.06608969315499606,contextual_factor_template
Aversion,Human judgment is better,Task complexity,81,0.06372934697088907,contextual_factor_template
