state,reason_phrase,contextual_factor,weighted_count,share_within_state,source
Appreciation,I still want final say,Performance pressure,92,0.09978308026030369,wordcloud_library_contextual_template
Appreciation,I trust it but with caution,Forecast accuracy,89,0.09652928416485901,wordcloud_library_contextual_template
Appreciation,Seems okay but I should check,Forecast accuracy,86,0.09327548806941431,wordcloud_library_contextual_template
Appreciation,Looks useful but situation changed,Demand volatility,83,0.09002169197396963,wordcloud_library_contextual_template
Appreciation,I know the local issue better,Task complexity,80,0.08676789587852494,wordcloud_library_contextual_template
Appreciation,Need to check with the team,Task complexity,77,0.08351409978308026,wordcloud_library_contextual_template
Appreciation,AI helps but not blindly,Task complexity,74,0.08026030368763558,wordcloud_library_contextual_template
Appreciation,Need to see the latest update,Decision latency,73,0.07917570498915401,wordcloud_library_contextual_template
Appreciation,Germany shift changed,Task complexity,70,0.07592190889370933,wordcloud_library_contextual_template
Appreciation,China supplier is late,Supply disruptions,68,0.0737527114967462,wordcloud_library_contextual_template
Appreciation,Better to be careful today,Recent negative shock,66,0.07158351409978309,wordcloud_library_contextual_template
Appreciation,I don't want to rush this,Decision latency,64,0.06941431670281996,wordcloud_library_contextual_template
Neutral,Not sure yet,Task complexity,90,0.09719222462203024,wordcloud_library_contextual_template
Neutral,I need more details,Forecast accuracy,86,0.09287257019438445,wordcloud_library_contextual_template
Neutral,I need to think about it,Task complexity,84,0.09071274298056156,wordcloud_library_contextual_template
Neutral,Need to understand the logic,Forecast accuracy,82,0.08855291576673865,wordcloud_library_contextual_template
Neutral,I don't have enough information,Task complexity,80,0.08639308855291576,wordcloud_library_contextual_template
Neutral,Need more context,Task complexity,78,0.08423326133909287,wordcloud_library_contextual_template
Neutral,Need to ask someone first,Performance pressure,76,0.08207343412526998,wordcloud_library_contextual_template
Neutral,Let's double-check the numbers,Forecast accuracy,74,0.07991360691144708,wordcloud_library_contextual_template
Neutral,Could be right could be wrong,Forecast accuracy,72,0.07775377969762419,wordcloud_library_contextual_template
Neutral,Mexico border delay unclear,Decision latency,70,0.0755939524838013,wordcloud_library_contextual_template
Neutral,Need another opinion,Performance pressure,68,0.0734341252699784,wordcloud_library_contextual_template
Neutral,Maybe approve later,Decision latency,66,0.07127429805615551,wordcloud_library_contextual_template
Aversion,I don't trust this,Forecast accuracy,92,0.09465020576131687,wordcloud_library_contextual_template
Aversion,AI doesn't know reality,Demand volatility,90,0.09259259259259259,wordcloud_library_contextual_template
Aversion,Too risky for me,Supply disruptions,88,0.09053497942386832,wordcloud_library_contextual_template
Aversion,I won't approve this,Performance pressure,86,0.08847736625514403,wordcloud_library_contextual_template
Aversion,I prefer doing it myself,Performance pressure,84,0.08641975308641975,wordcloud_library_contextual_template
Aversion,I don't believe the output,Forecast accuracy,82,0.08436213991769548,wordcloud_library_contextual_template
Aversion,Human judgment is better,Task complexity,80,0.0823045267489712,wordcloud_library_contextual_template
Aversion,The system misses too much,Task complexity,78,0.08024691358024691,wordcloud_library_contextual_template
Aversion,If it fails we pay the price,Target difficulty,76,0.07818930041152264,wordcloud_library_contextual_template
Aversion,Brazil port backlog is risky,Supply disruptions,74,0.07613168724279835,wordcloud_library_contextual_template
Aversion,Better safe than sorry,Recent negative shock,72,0.07407407407407407,wordcloud_library_contextual_template
Aversion,I've seen this fail before,Recent negative shock,70,0.0720164609053498,wordcloud_library_contextual_template
